"idproducto","barra","descripcion"
3,"4003994155486",PRODUCTO GENERICO
224,"2121238812437","DECORO   CHROME J11 - Rosa Aura 12""X50 PZAS"
1618,"9658531312324",PINTURA PARA LA CARA PTA-W-09 PFM24635 PFM20031
1618,"6984582438236",PINTURA PARA LA CARA PTA-W-09 PFM24635 PFM20031
675,"013051345921",SERVILLETAS BIG PARTY 40PZAS
724,"013051417369",VELAS DE ESPIRAL AMSCAN SURTIDAS
717,"013051417376",VELAS DE ESPIRAL AMSCAN NEGRAS Y BLANCAS
647,"013051476595",GLOBOS ANAGRAN CAMINANTES
647,"013051560386",GLOBOS ANAGRAN CAMINANTES
703,"013051677220",VELAS DE NUMEROS AMSCAN
703,"013051677237",VELAS DE NUMEROS AMSCAN
703,"013051677244",VELAS DE NUMEROS AMSCAN
703,"013051677251",VELAS DE NUMEROS AMSCAN
703,"013051677268",VELAS DE NUMEROS AMSCAN
703,"013051677275",VELAS DE NUMEROS AMSCAN
703,"013051677282",VELAS DE NUMEROS AMSCAN
703,"013051677299",VELAS DE NUMEROS AMSCAN
703,"013051677305",VELAS DE NUMEROS AMSCAN
703,"013051677312",VELAS DE NUMEROS AMSCAN
702,"013051677435",VELAS PALITOS LARGA COLORES SURTIDO AMSCAN
761,"013429906891","BOLSA GLOBOS QUIAO 12""X100 PZAS METALICO"
761,"013429910546","BOLSA GLOBOS QUIAO 12""X100 PZAS METALICO"
761,"013429910799","BOLSA GLOBOS QUIAO 12""X100 PZAS METALICO"
646,"026635070638",GLOBOS ANAGRAN MULTI BALLOON
647,"026635234740",GLOBOS ANAGRAN CAMINANTES
647,"026635234788",GLOBOS ANAGRAN CAMINANTES
648,"026635264228",GLOBOS ANAGRAN BOUQUET
647,"026635283175",GLOBOS ANAGRAN CAMINANTES
646,"026635309165",GLOBOS ANAGRAN MULTI BALLOON
648,"026635313018",GLOBOS ANAGRAN BOUQUET
648,"026635323864",GLOBOS ANAGRAN BOUQUET
648,"026635326834",GLOBOS ANAGRAN BOUQUET
648,"026635327121",GLOBOS ANAGRAN BOUQUET
648,"026635327176",GLOBOS ANAGRAN BOUQUET
648,"026635339315",GLOBOS ANAGRAN BOUQUET
648,"026635339360",GLOBOS ANAGRAN BOUQUET
648,"026635346597",GLOBOS ANAGRAN BOUQUET
646,"026635368872",GLOBOS ANAGRAN MULTI BALLOON
647,"026635372770",GLOBOS ANAGRAN CAMINANTES
647,"026635390774",GLOBOS ANAGRAN CAMINANTES
647,"026635390781",GLOBOS ANAGRAN CAMINANTES
721,"048419029847",SERVILLETAS SURTIDOS AMSCAN
731,"048419050834",SET DESECHABLES AMSCAN (8 CUCHILLOS 8 CUCHARAS 8 TENEDORES - 24 PZAS)
720,"048419051107",MANTEL SURTIDO AMSCAN
721,"048419067399",SERVILLETAS SURTIDOS AMSCAN
675,"048419071471",SERVILLETAS BIG PARTY 40PZAS
675,"048419076070",SERVILLETAS BIG PARTY 40PZAS
